"Subject" "Activity" "Metric" "Average"
1 "STANDING" "tBodyAcc-mean()-X" 0.278917629056604
1 "STANDING" "tBodyAcc-mean()-Y" -0.0161375901037736
1 "STANDING" "tBodyAcc-mean()-Z" -0.110601817735849
1 "STANDING" "tGravityAcc-mean()-X" 0.942952000377358
1 "STANDING" "tGravityAcc-mean()-Y" -0.272983832264151
1 "STANDING" "tGravityAcc-mean()-Z" 0.0134905823226415
1 "STANDING" "tBodyAccJerk-mean()-X" 0.0753766542264151
1 "STANDING" "tBodyAccJerk-mean()-Y" 0.00797573092830189
1 "STANDING" "tBodyAccJerk-mean()-Z" -0.00368524954709434
1 "STANDING" "tBodyGyro-mean()-X" -0.0239877347979245
1 "STANDING" "tBodyGyro-mean()-Y" -0.0593972209811321
1 "STANDING" "tBodyGyro-mean()-Z" 0.074800751
1 "STANDING" "tBodyGyroJerk-mean()-X" -0.0996092129056604
1 "STANDING" "tBodyGyroJerk-mean()-Y" -0.0440627877924528
1 "STANDING" "tBodyGyroJerk-mean()-Z" -0.0489505466716981
1 "STANDING" "tBodyAccMag-mean()" -0.984278207358491
1 "STANDING" "tGravityAccMag-mean()" -0.984278207358491
1 "STANDING" "tBodyAccJerkMag-mean()" -0.992367790566038
1 "STANDING" "tBodyGyroMag-mean()" -0.976493792830189
1 "STANDING" "tBodyGyroJerkMag-mean()" -0.994966790566038
1 "STANDING" "fBodyAcc-mean()-X" -0.995249932641509
1 "STANDING" "fBodyAcc-mean()-Y" -0.977070847735849
1 "STANDING" "fBodyAcc-mean()-Z" -0.985297098679245
1 "STANDING" "fBodyAccJerk-mean()-X" -0.994630797358491
1 "STANDING" "fBodyAccJerk-mean()-Y" -0.985418704528302
1 "STANDING" "fBodyAccJerk-mean()-Z" -0.990752166037736
1 "STANDING" "fBodyGyro-mean()-X" -0.986386786037736
1 "STANDING" "fBodyGyro-mean()-Y" -0.988984455849057
1 "STANDING" "fBodyGyro-mean()-Z" -0.980773122830189
1 "STANDING" "fBodyAccMag-mean()" -0.985356361132075
1 "STANDING" "fBodyBodyAccJerkMag-mean()" -0.99254247754717
1 "STANDING" "fBodyBodyGyroMag-mean()" -0.984617623396226
1 "STANDING" "fBodyBodyGyroJerkMag-mean()" -0.994815376981132
1 "STANDING" "tBodyAcc-std()-X" -0.995759901509434
1 "STANDING" "tBodyAcc-std()-Y" -0.973190056415094
1 "STANDING" "tBodyAcc-std()-Z" -0.979775876981132
1 "STANDING" "tGravityAcc-std()-X" -0.99376298509434
1 "STANDING" "tGravityAcc-std()-Y" -0.981225957924528
1 "STANDING" "tGravityAcc-std()-Z" -0.976324063584906
1 "STANDING" "tBodyAccJerk-std()-X" -0.994604542264151
1 "STANDING" "tBodyAccJerk-std()-Y" -0.98564873245283
1 "STANDING" "tBodyAccJerk-std()-Z" -0.992251177358491
1 "STANDING" "tBodyGyro-std()-X" -0.987191946603774
1 "STANDING" "tBodyGyro-std()-Y" -0.98773444
1 "STANDING" "tBodyGyro-std()-Z" -0.980645626981132
1 "STANDING" "tBodyGyroJerk-std()-X" -0.992945106981132
1 "STANDING" "tBodyGyroJerk-std()-Y" -0.995137917358491
1 "STANDING" "tBodyGyroJerk-std()-Z" -0.992108467169811
1 "STANDING" "tBodyAccMag-std()" -0.981942928867925
1 "STANDING" "tGravityAccMag-std()" -0.981942928867925
